country,age,wstatus,2020,unemployment_rate_age_group,youth_getting_married,rent_price_index,PC_eating_fruit,mobile_students_from_abroad,minimum_wage_PC_mean_income,inflation_index,Regulated rental dwellings (%),average_student_debt,total_student_debt_NL,gemiddelde_verkoopprijs_woning,mother_age_at_birth,hh_avg_children
Netherlands,Y18-24,EDUC,61.8,8.7,8967.0,111.51,24.7,318487.0,43.3,106.96,"33,62",12800.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y18-34,EDUC,53.7,5.0,50324.0,111.51,,318487.0,43.3,106.96,"33,62",15700.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y25-34,EDUC,14.1,3.2,41357.0,111.51,,318487.0,43.3,106.96,"33,62",18100.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y18-24,EMP_FT,15.5,8.7,8967.0,111.51,24.7,318487.0,43.3,106.96,"33,62",12800.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y18-34,EMP_FT,19.7,5.0,50324.0,111.51,,318487.0,43.3,106.96,"33,62",15700.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y25-34,EMP_FT,40.6,3.2,41357.0,111.51,,318487.0,43.3,106.96,"33,62",18100.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y18-24,EMP_PT,17.0,8.7,8967.0,111.51,24.7,318487.0,43.3,106.96,"33,62",12800.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y18-34,EMP_PT,19.9,5.0,50324.0,111.51,,318487.0,43.3,106.96,"33,62",15700.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y25-34,EMP_PT,34.1,3.2,41357.0,111.51,,318487.0,43.3,106.96,"33,62",18100.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y18-24,INAC_OTH,2.9,8.7,8967.0,111.51,24.7,318487.0,43.3,106.96,"33,62",12800.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y18-34,INAC_OTH,3.5,5.0,50324.0,111.51,,318487.0,43.3,106.96,"33,62",15700.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y25-34,INAC_OTH,6.2,3.2,41357.0,111.51,,318487.0,43.3,106.96,"33,62",18100.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y18-24,UNE,2.8,8.7,8967.0,111.51,24.7,318487.0,43.3,106.96,"33,62",12800.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y18-34,UNE,3.2,5.0,50324.0,111.51,,318487.0,43.3,106.96,"33,62",15700.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
Netherlands,Y25-34,UNE,5.0,3.2,41357.0,111.51,,318487.0,43.3,106.96,"33,62",18100.0,23100000000.0,334.488,31.085623158506294,0.41008064516129034
